Reaction	Complex	Direction
R2801DC40	"gene:215113;gene:72401"	B
R28766662	"gene:11636;gene:229949;gene:78801"	B
R2895F94E	gene:215335	B
R28BF4A7E	gene:66588	B
R28C1B94	gene:27376	B
R28F40B30	"gene:56774;gene:67760"	LR
R291B7F16	gene:56189	LR
R291B7F16	"gene:66194;gene:69051"	RL
R29BFCA7D		B
R29CE564	"gene:17449;gene:76668"	B
R29EE4FAC	gene:108037	B
R2A0BE2AF	"gene:110446;gene:623031+gene:97212"	B
R2A514FF5	"gene:14645;gene:266744"	LR
R2A5C6CA8	"gene:105727;gene:20520;gene:56774;gene:67760"	LR
R2AFE0436	gene:58994	RL
R2B1983B3		LR
R2B429964		B
R2B5FFA9E		B
R2B73E04	gene:243755	B
R2B8A2FB6	"gene:11364;gene:11409"	LR
R2B98DD1C	gene:13361	LR
R2BA65F2	gene:110006	LR
R2BA9A1B5	"gene:17449;gene:76668"	B
R2BC0B13		B
R2BD7CDB8	gene:57813	RL
R2BDAD51D	"gene:13162;gene:20538"	B
R2BFBC930	gene:171429	LR
R2C00D4E6	gene:26457	B
R2C1D1605		B
R2C35E4E1	"gene:110198;gene:11677;gene:58810"	LR
R2C35E4E1	gene:76238	B
R2C4DDC17	"gene:12894;gene:12895;gene:78070"	RL
R2D175B4	gene:73724	B
R2D1E7CE0		B
R2D816E14	gene:18950	B
R2D896436		B
R2D96CE70	gene:66588	B
R2D9C067	"gene:623031+gene:97212;gene:93747"	B
R2DA4B80A	gene:67283	RL
R2DA4B80A	gene:67283	LR
R2E10638B		LR
R2E3CC03B	gene:68603	LR
R2E4EE2FE	gene:100198	B
R2E6206DB	gene:12908	B
R2E646885		B
R2E88BA84		B
R2E9E1875		RL
R2F10B756	gene:14317	RL
R2F145401		B
R2F995547		RL
R2FC0C278	gene:98256	LR
R2FE29CBE		B
R30029437		B
R307276E1	gene:57279	LR
R30BE1921	"gene:109731;gene:17161"	RL
R318778B	gene:15356	RL
R319FC596	"gene:105446;gene:66355"	RL
R31A9AA94	"gene:15356;gene:208982"	RL
R32138C6A	"gene:113868+gene:11430+gene:15488;gene:113868+gene:11430+gene:74147"	LR
R322274C4		LR
R323046BA	gene:12974	RL
R32820AD8	gene:20501	B
R3296B67B	gene:110391	LR
R32CB447	"gene:102247;gene:28169;gene:52123;gene:55979;gene:67512;gene:68262"	RL
R33AD4AE6	"gene:108037;gene:20425"	B
R33CAD668	gene:20501	B
R33EA4607	gene:114304	LR
R33F7469F	"gene:15112;gene:56185"	LR
R340B4094	gene:67283	RL
R340DF510	gene:67283	LR
R3446B5B	gene:57279	LR
R3477694B	gene:20514	LR
R3492D883	gene:246787	B
R34D3BC42	gene:69719	B
R35402C75	"gene:110695;gene:11668;gene:11671;gene:19378;gene:56752"	RL
R35B2A8B5		B
R35B5C04C		B
R35B9D4CA	gene:74451	RL
R35CE1851	gene:67092	B
R35E67941		RL
R35E6A0D9	"gene:105727;gene:56774;gene:67760"	LR
R363D010	gene:20509	RL
R365A4E47		RL
R3662C7FC	"gene:60525;gene:78894"	RL
R36889B73	gene:17768	B
R3689E94B	gene:67283	RL
R36C11FB5	gene:15452	RL
R37046E17	"gene:20514;gene:55963"	LR
R3709DA2F	gene:12896	LR
R374BFC91	gene:20916+gene:56451	B
R375A3B99		RL
R376B95D9	gene:17436	RL
R37929526	gene:12896	LR
R38118862	"gene:11428;gene:11429"	B
R38797A1E		B
R387DC34C	gene:74754	RL
R3922352D		LR
R398F8566	"gene:209837;gene:76257"	B
R39997F27	gene:12035	B
R39EB3FD		B
R3A559AD1		LR
R3ABC4543		B
R3B0400F0	"gene:171567;gene:18102+gene:18103;gene:54369;gene:79059"	B
R3B59CC2C		B
R3B6C5584	"gene:11674;gene:11676;gene:230163"	B
R3BA91201	gene:12036	B
R3BABACC5	gene:66171	RL
R3BBF9908		B
R3C18E285	gene:12091+gene:18010+gene:19025+gene:50917	B
R3C1D3F41		B
R3C291B11	"gene:109342;gene:230612;gene:241612;gene:246787;gene:53881"	B
R3C93D042	gene:19044	RL
R3CC812F0	"gene:209837;gene:76257"	B
R3CDDF57	gene:14430	B
R3CEC3B19	"gene:113868+gene:11430+gene:15488;gene:113868+gene:11430+gene:74147"	LR
R3D23A812	gene:66588	B
R3D81F1FE		RL
R3DD193FD		RL
R3DE8B787		LR
R3E2499D8	gene:67283	RL
R3E2499D8	gene:67283	LR
R3E7B4D46	gene:14287	RL
R3E8AF7E7	gene:56752	RL
R3EAD8FA4	gene:67283	LR
R3F2AE76A	gene:104174+gene:13382+gene:434437+gene:68133	B
R3F85B7B8	"gene:20514;gene:55963"	LR
R3FB7A5C0	gene:192185	RL
R3FBBF52	"gene:21877;gene:57813"	RL
R401590DE	gene:11677	RL
R401E30B1	gene:104174+gene:13382+gene:434437+gene:68133	B
R4026C48	gene:20525	B
R40D1D1F	gene:22276	RL
R4142BEA3		B
R4269EB94		LR
R428800AF	gene:27376	B
R42E59AB7	"gene:11754;gene:237940;gene:76507"	LR
R42ED7A50		LR
R432087BE	gene:235504	B
R433748A3	gene:243537	LR
R435A649E	"gene:12183;gene:18648;gene:56012"	B
R43732CB3	gene:110460	RL
R43732CB3	gene:110460	B
R43D72B69		RL
R44757C01	gene:18950	B
R4479FF1C		B
R448277CE	gene:18795	RL
R44DA2A1	gene:110006	RL
R451AA907		RL
R452629E6	"gene:20514;gene:55963"	LR
R455A49C3	gene:14923	B
R458B2C0D		LR
R466087E5	gene:218865	LR
R46946F7A	"gene:15107;gene:15108;gene:623031+gene:97212"	B
R4696BEFD	gene:12359	LR
R469779C3	gene:20514	LR
R46BC5416		RL
R46BCA335		LR
R46C4B0E		LR
R47177312		B
R47346D0F		RL
R473E0C06		B
R4759C5B1	gene:14430	B
R47748913		LR
R4778AC19		B
R4799A1CC	gene:22275	RL
R47AE35D3	gene:16790	RL
R47B0699A	"gene:171567;gene:18102+gene:18103;gene:54369;gene:79059"	B
R47B7A297	gene:23923	LR
R47BD1A4	gene:103711	B
R47BDA39A	gene:14718	B
R47C93710	gene:56520	B
R47FCC93	"gene:20514;gene:55963"	RL
R481596C	gene:66588	B
R4815C604	"gene:14377;gene:14378;gene:68401"	LR
R4816BA26	gene:18102+gene:18103	B
R48C25BE6		RL
R48E37591		B
R4903FF23		LR
R494CEE90	gene:15929+gene:170718+gene:67834	RL
R49923094		RL
R499438FB	gene:55936	LR
R499C8118	"gene:12894;gene:12895;gene:78070"	RL
R49A2A18C	gene:72039+gene:78038	B
R49B7FB2C	gene:72472	B
R49CFB470	gene:14711	LR
R4A03420E		LR
R4A2BD974		LR
R4A3C1D85	gene:66588	B
R4A769D68	gene:18194	RL
R4A7FFFF0	gene:74185	LR
R4A881FA5		B
R4AEF8711		B
R4B5145FC		B
R4B595A67	"gene:20520;gene:56774"	LR
R4B7CFCA		LR
R4B9D1A3	"gene:18950;gene:76654"	B
R4BA51054	gene:11486	RL
R4BC21D69	gene:56473	LR
R4C691D69	gene:70789	RL
R4C7087C8	gene:14411	B
R4C83430		LR
